Biology Factoid Questions|||||
Question|Focus|Mod|Coarse Class|Fine Class|Answer
Vücudunuzda iç salgı bezleri tarafından salgılanan, genellikle protein yapılı olan, kan tarafından hedef organa taşınan, düzenleyici organik moleküllere ne denir?|moleküllere|organik|ENTITY|SYNTHESIZED|Hormon
Vücut bütünlüğünü koruyan, iç ve dış ortamlarda meydana gelen değişikliklere karşı iç dengenin korunmasını sağlayan duruma ne ad verilir?|duruma||ENTITY|PROCESS.ANIMAL|homeostasi
Vücut içi dengeye ne denir?|dengeye denir||DESCRIPTION|DESCRIPTION|Homeostasi
Vücut karakterlerini belirleyen genleri taşıyan kromozomlara ne ad verilir?|kromozomlara||DESCRIPTION|DEFINITION|otozom(vücut kromozomu)  
Vücut sıvısı ve bu sıvıyı hareket ettirerek basınç oluşturan kaslardan meydana gelen destek ve hareket sistemine ne ad verilir?|destek ve hareket sistemine||ENTITY|ANIMAL.SYSTEM|hidrostatik iskelet  
Vücutta üretilemeyen ve alınması zorunlu olan yağ asitlerine ne denir?|yağ asitlerine||ENTITY|SUBSTANCE|Esansiyel yağ asitleri
X ışınları ne zaman bulunmuştur?|zaman bulunmuştur||TEMPORAL|DATE|1895
X ışınlarını kim bulmuştur?|bulmuştur||HUMAN|INDIVIDUAL|Wilhelm Rontgen
Yağların kimyasal sindirimi, sindirim sisteminin hangi kısmında gerçekleşir?|kısmında||ENTITY|ORGAN|İnce bağırsak
Yağların sindirimi, sindirim kanalının hangi bölümünde başlar?|bölümünde||ENTITY|ORGAN|ince bağırsak  
Yağların sindirimi, sindirim kanalının hangi bölümünde biter?|bölümünde||ENTITY|ORGAN|ince bağırsak  
Yakını iyi göremeyen kişilerin sahip olduğu görme bozukluğuna ne ad verilir?|görme bozukluğuna||ENTITY|DISEASE|hipermetrop
Yapay sınıflandırmada canlıların hangi özellikleri dikkate alınmıştır?|özellikleri||DESCRIPTION|DESCRIPTION|Dış görünüşleri
Yapı olarak çizgili kasa benzeyen, çalışma prensibi olarak düz kasa benzeyen kas türü hangisidir?|kas türü||ENTITY|MUSCLE.TYPE|kalp kası  
Yapılarında beş karbon bulunduran şekerlere ne denir?|şekerlere||ENTITY|SUBSTANCE|Pentoz
Yapışık parmaklılık hangi eşey kromozom ile kalıtılır?|kromozom|eşey|ENTIRY|CELL.TYPE|Y kromozomu   
Yapısında kollagen lifler bulunan, hücreler arası maddesi homojen, saydam ve camsı bir görünüme sahip kıkırdak çeşidi nedir?|kıkırdak çeşidi||ENTITY|ANIMAL.STRUCTURE|hiyalin kıkırdak  
Yaprağın en dış tabakasında bulunan epidermis dokusunu örten, bitkinin su kaybını önleyen bu sebeple suda ve su kenarlarında yaşayan bitkilerde ince, kurak bölge bitkilerinde ise kalın olan, yaprağın daha alt tabakalarını ışığın girmesini engellemeyen tabakaya ne ad verilmektedir?|tabakaya||DESCRIPTION|DEFINITION|kütikula tabakası  
Yaprak ayasını gövdeye bağlayan ve yaprak ayasının ışıktan verimli şekilde yararlanmasını sağlayan yapı nedir?|yapı||ENTITY|SECTION.PLANT|yaprak sapı  
Yaprak dökümü ve meyvelerin oluşmasını hızlandıran hormon hangisidir?|hormon||ENTITY|SUBSTANCE|Etilen
Yaprak ve gövde epidermis hücrelerinin farklılaşmasıyla oluşan, bitkinin çevreyle gaz alış verişini sağlayan hücre hangisidir?|hücre||ENTIRY|CELL.TYPE|stoma
Yapraklarda fotosentezle üretilen ve köklerden alınan organik maddelerin bitkinin diğer kısımlarına iletilmesinden sorumlu bitkinin iletim dokusunda bulunan bölüme ne ad verilmektedir?|bölüme||ENTITY|SECTION.PLANT|floem
Yapraklarda görülen ve karbondioksit-oksijen alışverişini sağlayan yarıklara ne denir?|yarıklara||ENTITY|PLANT.STRUCTURE|Stoma
Yaralanmalarda ya da herhangi bir nedenle başlayan bir kanamada damardan kanın akmasını önlemek amacıyla kanda meydana gelen reaksiyonların tümüne ne ad verilir?|reaksiyonların tümüne||ENTITY|PROCESS.ANIMAL|pıhtılaşma
Yassı solucanlar gaz değişimini vücutlarından nasıl sağlarlar?|sağlarlar||ENTITY|PROCESS.ANIMAL|Difüzyon
Yassı solucanlar, yuvarlak solucanlar ve halkalı solucanlar gibi bazı omurgasız hayvan türlerinde görülen destek ve hareket sistemi nedir?|destek ve hareket sistemi||ENTITY|ANIMAL.SYSTEM|hidrostatik iskelet  
Yassı solucanlarda görülen sinir sitemi, hangi sinir sistemine örnektir?|sinir sistemine||ENTITY|ANIMAL.SYSTEM|ip merdiven  
Yassı solucanlardaki boşaltım organına ne ad verilir?|boşaltım organına||ENTITY|ORGAN|protonefridyum
Yavrularını süt salgılayan meme bezlerinden besleyen canlılara ne denir?|canlılara||ENTITY|ANIMAL|Memeli
Yazma ve konuşma merkezi olan beyin lobu hangisidir?|beyin lobu||ENTITY|SECTION.ANIMAL|ön lop  
Yerküredeki tüm çalılar ve canlılarla devamlı etkileşim halinde bulunan fiziksel çevreyi içine alan en büyük ekosistem nedir?|ekosistem|en büyük|DESCRIPTION|DESCRIPTION|ekosfer
Yerkürenin iklim kuşaklarına bağlı olarak geniş coğrafik bölgelerinde bulunan büyük ekosistem tiplerine ne ad verilir?|ekosistem tiplerine|büyük|DESCRIPTION|DESCRIPTION|biyom
Yerküreyi saran gaz kütlesine ne denir?|gaz kütlesine||DESCRIPTION|DEFINITION|atmosfer
Yeryüzü iklim günü ne zaman kutlanır?|zaman kutlanır||TEMPORAL|DATE|15-May
Yeryüzünde canlıların yaşadığı alana ne denir?|alana||DESCRIPTION|DEFINITION|Biyosfer
Yeryüzündeki bitki ve hayvanların dağılımı etkileyen en önemli faktör nedir?|faktör|en önemli|DESCRIPTION|EFFECT|küresel iklim özellikleri  
Yeşil renk dışındaki diğer renk pigmentlerini taşıyan yapılara ne denir?|yapılara||ENTITY|ORGANELLE|Kromoplast
Yeşil renkli plastide ne ad verilir?|ad||ENTITY|ORGANELLE|Kloroplast
Yetişkin bir insanda toplam kaç diş vardır?|diş vardır||NUMERIC|COUNT|32
Yetişkinlerde görülen, D vitamini eksikliğinde kemiklerde yumuşama ve eğilme meydana gelmesi ile sonuçlanan kemik hastalığına ne ad verilir?|kemik hastalığına||ENTITY|DISEASE|osteomalizi
Yıldız şeklinde olan kemik hücrelerinin yer aldığı kemik dokusundaki boşluklara ne ad verilir?|boşluklara||ENTITY|SECTION.ANIMAL|lakün
Yüksek enerji gereksinimleri sebebiyle kas hücrelerinde çok sayıda bulunan organel nedir?|organel||ENTITY|ORGANELLE|mitokondri
Yüksek yapılı hayvanlarda embriyo gelişiminde hücrelerde farklılaşmanın olmadığı safha hangisidir?|safha||ENTITY|PHASE|Blastula
Yumurtalık, dişicik borusu ve tepecik kısımlarından oluşan çiçeğin içte kalan son bölümüne ne ad verilir?|bölümüne|son|ENTITY|SECTION.PLANT|dişi organ  
Yumuşakçaların plazmasında bulunan mavi renkli solunum pigmenti nedir?|solunum pigmenti|mavi renkli|ENTITY|SYNTHESIZED|hemosiyanin
Yutak ile mide arasında bulunan sindirim organı nedir?|sindirim organı||ENTITY|SECTION.ANIMAL|yemek borusu  
Zigot bölündüğünde oluşan blastomerlerin oluşturduğu dut meyvesi görünümündeki hücre kümesine ne denir?|hücre kümesine||ENTITY|PHASE|Morula
Zigot döllenme olayından 7 gün sonra hangi hale gelir?|hale gelir||ENTITY|PHASE|Blastosist
Zigot oluştuktan sonra hücrelerin geometrik şekilde artmasına ne denir?|artmasına|geometrik şekilde|DESCRIPTION|DEFINITION|Segmentasyon
